AUGUST DATASET,,,,F=(average percentage of total time spent with item),,,
TESTING,Date,ID,Position N,F,N,Treatment,Extra things
OBJ,8092021,Rat 1 IOT,2,14.59293395,28.11059908,SW,
,8092021,Rat 3 DOT,5,15.546875,21.484375,SW,
,8102021,Rat 6 IOT,1,6.564885496,1.526717557,SW,may say rat 5 on vid
,8102021,Rat 8 DOT,6,18.18181818,9.090909091,SW,
,8112021,Rat 10 DOT,4,16.31067961,18.44660194,SW,
,8112021,Rat 12 IOT,3,13.12883436,34.35582822,SW,
,8122021,Rat 7 IOT,1,7.112462006,64.43768997,SW,
,8122021,Rat 9 DOT,6,19.02621723,4.868913858,SW,
,8132021,Rat 1 DOT,5,13.13868613,34.30656934,SW,
,8132021,Rat 3 IOT,2,16.93181818,15.34090909,SW,
,8142021,Rat 6 IOT,3,13.92491468,30.37542662,SW,
,8142021,Rat 12 DOT,6,16.19909502,19.00452489,SW,
OD,8092021,Rat 2 IOT,5,14.93150685,11.30136986,SW,
,8092021,Rat 4 DOT,3,11.32075472,11.32075472,SW,
,8102021,Rat 5 IOT,4,17.89473684,10.52631579,SW,
,8102021,Rat 7 DOT,2,16.47058824,17.64705882,SW,
,8112021,Rat 9 DOT,1,13.08823529,34.55882353,SW,
,8112021,Rat 11 IOT,1,17.43589744,12.82051282,SW,
,8122021,Rat 8 IOT,3,17.23502304,13.82488479,SW,
,8122021,Rat 10 DOT,1,16.50347666,21.399177,SW,
,8132021,Rat 2 DOT,6,16.90140845,15.4929577,SW,
,8132021,Rat 4 IOT,3,16.66666667,16.67777778,SW,
,8142021,Rat 5 IOT,5,17.62711864,11.8644068,SW,
,8142021,Rat 11 DOT,2,18.71559633,6.422018349,SW,
OBJ,8092021,Rat 5 DOT,4,16.14035088,29.23976608,TI,
,8092021,Rat 7 IOT,,,,TI,knocked object
,8102021,Rat 1 DOT,2,13.78787879,31.06060606,TI,
,8102021,Rat 4 IOT,5,6.511627907,67.44186047,TI,
,8112021,Rat 2 IOT,2,17.20930233,13.95348837,TI,
,8112021,Rat 4 DOT,6,13.03371,34.83146067,TI,
,8122021,Rat 5 DOT,5,14.7766323,26.11683849,TI,
,8122021,Rat 11 IOT,4,14.09638554,29.51807229,TI,
,8132021,Rat 9 DOT,4,16.49484536,17.5257732,TI,
,8132021,Rat 11 IOT,2,15.56886228,22.15568862,TI,
,8142021,Rat 8 DOT,2,16.28099174,18.59504132,TI,
,8142021,Rat 10 IOT,4,,,TI,knocked object
OD,8092021,Rat 6 DOT,1,12.09876543,15.43209877,TI,
,8092021,Rat 8 IOT,5,16.98924731,15.05376344,TI,
,8102021,Rat 2 DOT,2,16.46017699,17.69911504,TI,
,8102021,Rat 3 IOT,3,13.65517241,31.72413793,TI,
,8112021,Rat 1 IOT,2,7.941176471,60.29411765,TI,
,8112021,Rat 3 DOT,3,11.42857143,42.85714286,TI,
,8122021,Rat 6 DOT,2,18.5106383,7.446808511,TI,
,8122021,Rat 12 IOT,5,13.19148936,34.04255319,TI,
,8132021,Rat 10 DOT,2,15.76642336,21.16788321,TI,
,8132021,Rat 12 IOT,6,17.05357143,14.73214286,TI,
,8142021,Rat 7 DOT,1,14.94318182,25.28409091,TI,
,8142021,Rat 9 IOT,3,19.3220339,3.389830508,TI,
OBJ,8092021,Rat 9 DOT,6,18.1981982,17.11711712,C,
,8092021,Rat 11 IOT,1,14.41624365,24.36548223,C,
,8102021,Rat 10 IOT,1,9.214659686,53.92670157,C,
,8102021,Rat 12 DOT,6,18.64285714,6.785714286,C,
,8112021,Rat 6 IOT,3,7.076923077,64.61538462,C,
,8112021,Rat 8 DOT,1,12.76595745,36.17021277,C,
,8122021,Rat 2 DOT,3,16.25,18.75,C,
,8122021,Rat 3 IOT,4,13.17647059,34.11764706,C,
,8132021,Rat 5 DOT,3,19.18518519,17.77777778,C,
,8132021,Rat 7 IOT,3,17.17948718,14.1025641,C,
,8142021,Rat 2 IOT,3,16.13636364,19.31818182,C,
,8142021,Rat 4 DOT,5,15.36585366,23.17073171,C,
OD,8092021,Rat 10 DOT,6,18.35390947,8.032128514,C,
,8092021,Rat 12 IOT,1,13.68421053,31.57894737,C,
,8102021,Rat 9 IOT,5,16.21621622,18.91891892,C,
,8102021,Rat 11 DOT,3,18.4,8,C,
,8112021,Rat 5 IOT,2,12.5,37.5,C,
,8112021,Rat 7 DOT,5,16.36363636,18.18181818,C,
,8122021,Rat 1 DOT,1,16.37362637,18.13186813,C,
,8122021,Rat 4 IOT,5,13.82978723,30.85106383,C,
,8132021,Rat 6 DOT,1,11.31578947,43.42105263,C,
,8132021,Rat 8 IOT,4,16.4516129,17.74193548,C,
,8142021,Rat 1 IOT,1,14.64912281,26.75438596,C,
,8142021,Rat 3 DOT,4,17.24637681,13.76811594,C,
