,Video,Animal_1 Stimulus 1 (s),Animal_1 Stimulus 2 (s),Animal_1 Stimulus 3 (s),Animal_1 Stimulus 4 (s),Animal_1 Stimulus 5 (s),Animal_1 Stimulus 6 (s),Animal_1 Stimulus 1 (% of session),Animal_1 Stimulus 2 (% of session),Animal_1 Stimulus 3 (% of session),Animal_1 Stimulus 4 (% of session),Animal_1 Stimulus 5 (% of session),Animal_1 Stimulus 6 (% of session)
0,08092021_DOT_Rat3_4,15.3,13.667,11.667,9.467,13.033,11.333,0.064,0.057,0.049,0.039,0.054,0.047
1,08092021_DOT_Rat5_6,15.767,13.633,8.833,13.5,14.133,28.533,0.066,0.057,0.037,0.056,0.059,0.119
2,08092021_DOT_Rat9_10(2),18.033,12.633,17.5,6.833,25.867,11.3,0.075,0.053,0.073,0.028,0.108,0.047
3,08092021_DOT_Rat9_10,20.433,5.5,19.067,6.733,15,14.4,0.114,0.031,0.106,0.037,0.083,0.08
4,08092021_IOT_Rat11_12,27.5,11.433,19.9,20.867,15.4,11.733,0.115,0.048,0.083,0.087,0.064,0.049
5,08092021_IOT_Rat7_8,13.733,6.833,8.733,16.633,36.633,10,0.057,0.028,0.036,0.069,0.153,0.042
6,08102021_DOT_Rat11_12,14.167,9.7,11.533,25.9,15.933,19.567,0.059,0.04,0.048,0.108,0.066,0.082
7,08102021_DOT_Rat1_2,19.5,16.833,11.2,7.033,9.333,12.167,0.081,0.07,0.047,0.029,0.039,0.051
8,08102021_DOT_Rat7_8(2),27.367,23.7,18.667,18.7,20.067,18.367,0.114,0.099,0.078,0.078,0.084,0.077
9,08102021_DOT_Rat7_8,2.667,14.1,24.7,8.8,9.533,14.533,0.015,0.078,0.137,0.049,0.053,0.081
10,08102021_IOT_Rat3_4(2),14.867,21.833,8.967,22.567,42.933,18.933,0.062,0.091,0.037,0.094,0.179,0.079
11,08102021_IOT_Rat3_4,10.1,13.033,14.367,8.133,21.8,14.5,0.056,0.072,0.08,0.045,0.121,0.081
12,08112021_IOT_Rat1_2,17.633,3.233,5.2,13.033,9.4,1.9,0.098,0.018,0.029,0.072,0.052,0.011
13,08122021_IOT_Rat11_12,18.333,9.9,8.533,7.133,4.767,4.5,0.102,0.055,0.047,0.04,0.026,0.025
14,08_11_2021_DOT_Rat7_8,22.133,25.033,16.767,10.833,15.967,0,0.123,0.139,0.093,0.06,0.089,0
15,08_12_2021_IOT_Rat3_4,14.7,11.1,9.2,3.933,1.867,6.533,0.082,0.062,0.051,0.022,0.01,0.036
16,08_13_2021_DOT_Rat9_10,2.8,10.2,6.233,19.167,8.733,3.5,0.016,0.057,0.035,0.106,0.049,0.019
17,08_14_2021_DOT_Rat7_8,8,22.067,14.3,15.867,26.067,13.233,0.044,0.123,0.079,0.088,0.145,0.074
18,2022-06-11_NOD_DOT_11,17.067,7.6,6.433,8.733,9.567,16.867,0.095,0.042,0.036,0.049,0.053,0.094
19,2022-06-11_NOD_DOT_9,7.167,6.567,5.4,4.067,12,9.533,0.04,0.036,0.03,0.023,0.067,0.053
20,2022-06-11_NOD_IOT_12,13.8,3.6,8.067,12.6,26.4,17.133,0.077,0.02,0.045,0.07,0.147,0.095
21,2022-06-12_NOD_DOT_17,13.767,8.3,11.567,7.767,12.3,10.067,0.076,0.046,0.064,0.043,0.068,0.056
22,2022-06-12_NOD_IOT_14,4.567,11.767,3.667,6.967,8.167,2.3,0.025,0.065,0.02,0.039,0.045,0.013
23,2022-06-12_NOD_IOT_18,9.733,14.2,5.667,17.233,8,10.067,0.054,0.079,0.031,0.096,0.044,0.056
24,2022-06-18_NOD_IOT_18-upsidedown,10.6,18.833,7.667,2.833,2.467,5.433,0.035,0.063,0.026,0.009,0.008,0.018
25,2022-06-20_NOB_DOT_4,3.7,18.733,8.033,8.2,9.333,7.267,0.012,0.062,0.027,0.027,0.031,0.024
26,2022-06-21_NOB_DOT_22,16.4,6.6,10.733,6.567,15.867,32.533,0.055,0.022,0.036,0.022,0.053,0.108
27,2022-06-21_NOB_IOT_23,4.1,13.067,5.767,13.067,12.533,6.6,0.014,0.044,0.019,0.044,0.042,0.022
28,2022-06-23_NOB_IOT_4,3.067,7.333,5.8,26.933,15.033,11.9,0.01,0.024,0.019,0.09,0.05,0.04
29,2022-06-24_NOB_IOT_22,8.633,9.233,11.833,9.2,5.8,11.1,0.029,0.031,0.039,0.031,0.019,0.037
30,2022-06-26_NOB_DOT_4,16.5,15.4,5.6,3.4,8.467,15.333,0.055,0.051,0.019,0.011,0.028,0.051
31,2022-06-26_NOB_DOT_6,6.967,5.7,16.333,2.433,7.667,3.8,0.023,0.019,0.054,0.008,0.026,0.013
32,2022-06-26_NOB_IOT_1,4.3,5.1,5.067,10.667,19,6.6,0.014,0.017,0.017,0.036,0.063,0.022
33,2022-06-26_NOB_IOT_5,10.3,10.533,8.767,25.6,9.533,17,0.034,0.035,0.029,0.085,0.032,0.057
