gold_video_name,video_name,novel_object
,03142021_NOB_DOT_3_upsidedown,4
03142021_NOB_DOT_5_upsidedown,03142021_NOB_DOT_5_upsidedown,6
,03142021_NOB_IOT_11_upsidedown,4
,03142021_NOB_IOT_7_upsidedown,2
,03152021_NOB_DOT_2,4
,03152021_NOB_IOT_6,3
,03152021_NOB_IOT_8,6
,03162021_NOB_DOT_10_upsidedown,3
,03162021_NOB_DOT_4_upsidedown,4
,03162021_NOB_DOT_8_upsidedown,4
,03162021_NOB_IOT_12_upsidedown,1
,03162021_NOB_IOT_2_upsidedown,1
,03162021_NOB_IOT_6_upsidedown,5
,03172021_NOB_DOT_1_upsidedown,4
,03172021_NOB_DOT_5_upsidedown,6
,03172021_NOB_IOT_11_upsidedown,4
,03172021_NOB_IOT_3_upsidedown,5
,03172021_NOB_IOT_7_upsidedown,4
,03182021_NOB_DOT_1_upsidedown,5
,03182021_NOB_DOT_5_upsidedown,4
,03182021_NOB_DOT_9_upsidedown,6
,03182021_NOB_IOT_11_upsidedown,4
,03182021_NOB_IOT_3_upsidedown,6
,03182021_NOB_IOT_7_upsidedown,2
,03192021_NOB__DOT_4_upsidedown,2
,03192021_NOB_DOT_12_upsidedown,1
,03192021_NOB_DOT_8_upsidedown,3
,03192021_NOB_IOT_10_upsidedown,4
,03192021_NOB_IOT_2_upsidedown,3
08092021_DOT_Rat9_10,08092021_NOB_DOT_Rat10,6
08092021_DOT_Rat3_4,08092021_NOB_DOT_Rat4,2
08092021_DOT_Rat5_6,08092021_NOB_DOT_Rat6,1
08092021_IOT_Rat11_12,08092021_NOB_IOT_12,4
08092021_IOT_Rat7_8,08092021_NOB_IOT_Rat8,4
08102021_DOT_Rat11_12,08102021_NOB_DOT_11,3
,08102021_NOB_DOT_2,5
08102021_DOT_Rat7_8,08102021_NOB_DOT_7,3
08102021_IOT_Rat3_4,08102021_NOB_IOT_Rat3,2
,08102021_NOB_IOT_Rat9,4
,08112021_NOB_DOT_Rat3,3
08_11_2021_DOT_Rat7_8,08112021_NOB_DOT_Rat7,4
,08112021_NOB_DOT_Rat9,1
08112021_IOT_Rat1_2,08112021_NOB_IOT_Rat1,5
,08112021_NOB_IOT_Rat11,6
,08112021_NOB_IOT_Rat5,6
,08122021_NOB_DOT_Rat1,6
,08122021_NOB_DOT_Rat10,3
,08122021_NOB_DOT_Rat6,2
08122021_IOT_Rat11_12,08122021_NOB_IOT_Rat12,1
08_12_2021_IOT_Rat3_4,08122021_NOB_IOT_Rat4,1
,08122021_NOB_IOT_Rat8,4
08_13_2021_DOT_Rat9_10,08132021_NOB_DOT_Rat10,1
,08132021_NOB_DOT_Rat2,2
,08132021_NOB_DOT_Rat6,6
,08132021_NOB_IOT_12,5
,08132021_NOB_IOT_8,6
,08132021_NOB_IOT_Rat4,2
,08142021_NOB_DOT_Rat11,3
,08142021_NOB_DOT_Rat3,5
08_14_2021_DOT_Rat7_8,08142021_NOB_DOT_Rat7,5
,08142021_NOB_IOT_Rat1,6
,08142021_NOB_IOT_Rat5,6
,2022-06-11_NOB_DOT_1(upsidedown)_WC,6
,2022-06-11_NOB_DOT_3(upsidedown)_WC,5
,2022-06-11_NOB_DOT_5_WC,1
2022-06-11_NOB_IOT_2(upsidedown)_WC,2022-06-11_NOB_IOT_2(upsidedown)_WC,3
,2022-06-11_NOB_IOT_4_WC,5
,2022-06-11_NOB_IOT_6_WC,6
,2022-06-11_NOD_DOT_7,1
,2022-06-12_NOB_DOT_19_WC,3
,2022-06-12_NOB_DOT_21_WC,1
,2022-06-12_NOB_DOT_23_WC,3
,2022-06-12_NOB_IOT_20_WC,3
,2022-06-12_NOB_IOT_22_WC,3
,2022-06-12_NOB_IOT_24,3
,2022-06-14_NOB_DOT_2,2
,2022-06-14_NOB_DOT_4,3
,2022-06-14_NOB_DOT_6,4
,2022-06-14_NOB_IOT_1,4
,2022-06-14_NOB_IOT_3,5
,2022-06-14_NOB_IOT_5,3
,2022-06-15_NOB_DOT_20,2
,2022-06-15_NOB_DOT_22,1
,2022-06-15_NOB_DOT_24,4
,2022-06-15_NOB_IOT_19,2
,2022-06-15_NOB_IOT_21,4
,2022-06-15_NOB_IOT_23,6
,2022-06-17_NOB_DOT_1,1
,2022-06-17_NOB_DOT_3,2
,2022-06-17_NOB_DOT_5,1
,2022-06-17_NOB_IOT_2,4
2022-06-17_NOB_IOT_4,2022-06-17_NOB_IOT_4,5
,2022-06-17_NOB_IOT_6,6
,2022-06-18_NOB_DOT_19,3
,2022-06-18_NOB_DOT_21,1
,2022-06-18_NOB_DOT_23,3
,2022-06-18_NOB_IOT_20,2
,2022-06-18_NOB_IOT_22,3
,2022-06-18_NOB_IOT_24,3
,2022-06-20_NOB_DOT_2,5
2022-06-20_NOB_DOT_4,2022-06-20_NOB_DOT_4,5
,2022-06-20_NOB_DOT_6,4
2022-06-20_NOB_IOT_1,2022-06-20_NOB_IOT_1,5
2022-06-20_NOB_IOT_3,2022-06-20_NOB_IOT_3,4
,2022-06-20_NOB_IOT_5,4
,2022-06-21_NOB_DOT_20,5
2022-06-21_NOB_DOT_22,2022-06-21_NOB_DOT_22,2
2022-06-21_NOB_DOT_24,2022-06-21_NOB_DOT_24,6
,2022-06-21_NOB_IOT_19,4
,2022-06-21_NOB_IOT_21,6
2022-06-21_NOB_IOT_23,2022-06-21_NOB_IOT_23,5
2022-06-23_NOB_DOT_1,2022-06-23_NOB_DOT_1,2
,2022-06-23_NOB_DOT_3,6
,2022-06-23_NOB_DOT_5,4
,2022-06-23_NOB_IOT_2,5
2022-06-23_NOB_IOT_4,2022-06-23_NOB_IOT_4,1
,2022-06-23_NOB_IOT_6,1
,2022-06-24_NOB_DOT_19,3
,2022-06-24_NOB_DOT_21,4
,2022-06-24_NOB_DOT_23,3
,2022-06-24_NOB_IOT_20,3
2022-06-24_NOB_IOT_22,2022-06-24_NOB_IOT_22,1
2022-06-24_NOB_IOT_24,2022-06-24_NOB_IOT_24,5
2022-06-26_NOB_DOT_2,2022-06-26_NOB_DOT_2,5
2022-06-26_NOB_DOT_4,2022-06-26_NOB_DOT_4,4
2022-06-26_NOB_DOT_6,2022-06-26_NOB_DOT_6,4
2022-06-26_NOB_IOT_1,2022-06-26_NOB_IOT_1,5
,2022-06-26_NOB_IOT_3,4
2022-06-26_NOB_IOT_5,2022-06-26_NOB_IOT_5,4
2022-06-27_NOB_DOT_20,2022-06-27_NOB_DOT_20,5
,2022-06-27_NOB_DOT_22,2
,2022-06-27_NOB_DOT_24,6
,2022-06-27_NOB_IOT_19,4
2022-06-27_NOB_IOT_21,2022-06-27_NOB_IOT_21,6
,2022-06-27_NOB_IOT_23,5
